Month,Year,Debit Balances in Customers' Securities Margin Accounts,Free Credit Balances in Customers' Cash Accounts,Free Credit Balances in Customers' Securities Margin Accounts
1,97,99460,41280,22870
2,97,100000,40090,22200
3,97,100160,41050,22930
4,97,98870,37560,22700
5,97,106010,39400,22050
6,97,113440,41840,23860
7,97,116190,43985,24290
8,97,119810,42960,23375
9,97,126050,43770,23630
10,97,128190,47465,26950
11,97,127330,45470,26735
12,97,126090,52160,31410
1,98,127790,48620,29480
2,98,135590,48640,27450
3,98,140340,51340,27430
4,98,140240,51050,28160
5,98,143600,47770,26200
6,98,147700,51205,29840
7,98,154370,53780,31820
8,98,147800,53850,38460
9,98,137540,54240,41970
10,98,130160,54610,43500
11,98,139710,56170,40620
12,98,140980,62450,40250
1,99,153240,59600,36880
2,99,151530,57910,38850
3,99,156440,59435,40120
4,99,172880,60870,41200
5,99,177984,61665,41250
6,99,176930,64100,42865
7,99,178360,60000,44330
8,99,176390,62600,44230
9,99,179316,62810,47125
10,99,182272,61085,51040
11,99,206280,68200,49480
12,99,228530,79070,55130
1,0,243490,75760,57800
2,0,265210,79700,56470
3,0,278530,85530,65020
4,0,251700,76190,65930
5,0,240660,73500,66170
6,0,247200,74140,64970
7,0,244970,74970,71730
8,0,247560,72640,68020
9,0,250780,74766,70959
10,0,233376,73271,83131
11,0,219110,74050,96730
12,0,198790,84400,100680
1,1,197110,81380,90380
2,1,186870,78670,99400
3,1,165350,77520,106300
4,1,166940,77460,97470
5,1,174180,76260,91990
6,1,170000,75270,98430
7,1,165250,73490,97950
8,1,161130,73710,103990
9,1,144670,74220,115450
10,1,144010,69550,101850
11,1,148650,72090,98330
12,1,150450,78040,101640
1,2,150390,75110,97330
2,2,147030,72730,99350
3,2,149370,69790,93700
4,2,150940,68540,92140
5,2,150860,66120,92950
6,2,146270,68280,95830
7,2,136160,68860,98080
8,2,132160,63700,95400
9,2,130210,67550,98630
10,2,130570,66780,96620
11,2,133060,67380,91240
12,2,134380,73340,95690
1,3,134910,66200,96430
2,3,134030,67260,95400
3,3,135910,68860,90830
4,3,135940,60680,88640
5,3,146380,71270,88540
6,3,148550,74350,87920
7,3,148450,76170,91210
8,3,149660,72000,88040
9,3,155870,74760,88620
10,3,162720,79530,89360
11,3,172140,77130,87440
12,3,173220,84920,92560
1,4,178820,82740,92570
2,4,180360,84540,93840
3,4,179710,80560,100680
4,4,181280,84670,103670
5,4,178470,85060,106250
6,4,180090,85540,109820
7,4,177030,83530,114720
8,4,177100,80280,114330
9,4,180100,83400,110720
10,4,185700,81610,110870
11,4,196990,85740,110960
12,4,203790,93580,117850
1,5,203320,87260,115350
2,5,199480,77960,94330
3,5,201690,80200,100200
4,5,194160,74720,97450
5,5,196270,72690,99480
6,5,200500,76380,105550
7,5,210940,74130,99000
8,5,208660,75910,99050
9,5,217760,79310,106730
10,5,212540,77550,113110
11,5,219020,78330,110610
12,5,221660,88730,119710
1,6,232190,83250,115220
2,6,222780,81600,117970
3,6,236670,82750,119360
4,6,241540,83000,119020
5,6,230540,81090,126210
6,6,225780,84400,137550
7,6,231490,79420,141000
8,6,226480,79460,139290
9,6,237120,80470,142580
10,6,244370,80200,143400
11,6,270520,90980,155200
12,6,275380,94450,159040
1,7,285610,90340,156190
2,7,295870,96550,155140
3,7,293160,99690,161890
4,7,317990,104360,162570
5,7,353030,109030,176200
6,7,378240,119300,179920
7,7,381370,122740,205830
8,7,331370,118250,214890
9,7,329510,118910,208540
10,7,345420,120840,222900
11,7,344300,128530,246520
12,7,322780,130620,274980
1,8,328330,142100,276390
2,8,334900,133670,266050
3,8,311660,122140,305650
4,8,295550,100600,313740
5,8,310310,95930,325040
6,8,314360,96090,351340
7,8,313290,98890,370200
8,8,292110,90860,358850
9,8,299960,106670,193350
10,8,233350,100330,186870
11,8,201480,103510,185320
12,8,186710,106650,181980
1,9,177710,93500,155690
2,9,173310,91120,154740
3,9,182160,90560,137680
4,9,184120,91890,125860
5,9,189250,89880,117500
6,9,188250,89980,120350
7,9,199460,84040,118820
8,9,206720,90450,120040
9,9,220790,86490,125930
10,9,231820,94150,136510
11,9,220958,87487,134946
12,9,230879,91687,123780
2,10,263657,106131,164624
3,10,277798,108908,162169
4,10,295550,111217,160630
5,10,268566,114051,166706
6,10,263202,114265,172908
7,10,267468,106290,172179
8,10,268371,106870,174209
9,10,288540,114321,173544
10,10,303428,114784,176588
11,10,309340,119305,176805
12,10,313678,126098,182426
1,10,233684,88669,134677
1,11,326868,130894,173545
2,11,348979,135760,179102
3,11,355413,133386,170139
4,11,360883,133131,175399
5,11,355736,133727,175508
6,11,345273,139575,183547
7,11,344572,138316,182957
8,11,308866,135508,193533
9,11,298277,141806,204307
10,11,317028,133639,188141
11,11,303930,132934,188259
12,11,301616,142533,189143
1,12,309844,137309,174889
2,12,323021,139609,177639
3,12,330815,142297,182814
4,12,335154,138909,182021
5,12,315147,139111,187938
6,12,320952,138937,192149
7,12,313525,124330,194741
8,12,320395,124276,196786
9,12,339159,129389,205176
10,12,342325,124800,200406
11,12,351441,135650,202425
12,12,355009,162206,211576
1,13,388123,142856,199709
2,13,390351,142123,208682
3,13,403933,144530,197887
4,13,408677,140706,191719
5,13,401606,146765,199756
6,13,407681,150093,200308
7,13,412101,144495,194790
8,13,414442,143808,195181
9,13,432852,149895,197780
10,13,445022,151494,199889
11,13,456378,150214,199153
12,13,478502,157000,197521
1,14,487549,151878,195863
2,14,502093,154049,190312
3,14,487932,156083,194461
4,14,475195,149801,194679
5,14,475362,150474,188551
6,14,502270,160293,184723
7,14,498671,155931,177981
8,14,501000,155245,180820
9,14,503901,161621,183243
10,14,492888,158624,185193
11,14,496341,158420,184227
12,14,495756,169295,181223
1,15,485872,163599,178259
2,15,504923,168371,170930
3,15,518055,171625,170074
4,15,549964,168430,167073
5,15,541671,166334,169076
6,15,547957,170614,168441
7,15,530744,168659,169132
8,15,515960,175647,168692
9,15,497279,173760,167132
10,15,513941,174437,163210
11,15,515410,174607,165584
12,15,503444,181812,159677
1,16,487200,180616,162825
2,16,474156,178989,168308
3,16,483909,182673,172525
4,16,495178,176016,187000
5,16,489867,177161,187495
6,16,487636,186233,189585
7,16,513221,183435,188155
8,16,510157,177764,185695
9,16,540615,184757,182833
10,16,523760,182051,182986
11,16,539972,179598,187085
12,16,529372,188062,189979
1,17,553557,186301,186029
2,17,568637,185720,184598
3,17,577674,186892,184977
4,17,590797,180908,184930
5,17,582764,176970,185463
6,17,584258,176707,187500
7,17,594414,173195,184246
8,17,596567,170524,183744
9,17,606334,172872,183599
10,17,607838,169368,184047
11,17,627422,170948,185312
12,17,642798,172999,182773
1,18,665716,168450,181763
2,18,645064,164657,183267
3,18,645235,166148,180751
4,18,652303,155989,179410
5,18,668940,155344,181890
6,18,646931,157150,179399
7,18,652790,148947,178299
8,18,652395,148873,178601
9,18,648126,151384,188152
10,18,607645,148037,183432
11,18,592593,146452,178810
12,18,554285,159572,190743
1,19,568433,151804,186050
2,19,581205,149686,181955
3,19,574013,141074,180765
4,19,588721,143802,178523
